"Comment[mztab:metadata:assay:id]"	"Comment[mztab:metadata:sample:id]"	"Comment[mztab:metadata:ms_run:id]"	"Comment[mztab:metadata:ms_run:name]"	"Comment[mztab:metadata:ms_run:instrument:id]"	"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"147"	"147"	"147"	""	"1"	"M11051110"	"Extraction"	""	""	"Assay for M11051110"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"147"	""	"Data transformation"	""	"FILES/m11051110.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"148"	"148"	"148"	""	"1"	"M11080303"	"Extraction"	""	""	"Assay for M11080303"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"148"	""	"Data transformation"	""	"FILES/m11080303.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"149"	"149"	"149"	""	"1"	"M11062214"	"Extraction"	""	""	"Assay for M11062214"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"149"	""	"Data transformation"	""	"FILES/m11062214.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"150"	"150"	"150"	""	"1"	"M11081312"	"Extraction"	""	""	"Assay for M11081312"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"150"	""	"Data transformation"	""	"FILES/m11081312.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"151"	"151"	"151"	""	"1"	"M11051201"	"Extraction"	""	""	"Assay for M11051201"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"151"	""	"Data transformation"	""	"FILES/m11051201.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"152"	"152"	"152"	""	"1"	"M11062215"	"Extraction"	""	""	"Assay for M11062215"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"152"	""	"Data transformation"	""	"FILES/m11062215.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"153"	"153"	"153"	""	"1"	"M11081709"	"Extraction"	""	""	"Assay for M11081709"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"153"	""	"Data transformation"	""	"FILES/m11081709.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"154"	"154"	"154"	""	"1"	"M11082009"	"Extraction"	""	""	"Assay for M11082009"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"154"	""	"Data transformation"	""	"FILES/m11082009.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"155"	"155"	"155"	""	"1"	"M11052807"	"Extraction"	""	""	"Assay for M11052807"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"155"	""	"Data transformation"	""	"FILES/m11052807.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"156"	"156"	"156"	""	"1"	"M11052509"	"Extraction"	""	""	"Assay for M11052509"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"156"	""	"Data transformation"	""	"FILES/m11052509.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"157"	"157"	"157"	""	"1"	"M11070605"	"Extraction"	""	""	"Assay for M11070605"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"157"	""	"Data transformation"	""	"FILES/m11070605.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"158"	"158"	"158"	""	"1"	"M11050514"	"Extraction"	""	""	"Assay for M11050514"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"158"	""	"Data transformation"	""	"FILES/m11050514.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"159"	"159"	"159"	""	"1"	"M11062501"	"Extraction"	""	""	"Assay for M11062501"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"159"	""	"Data transformation"	""	"FILES/m11062501.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"160"	"160"	"160"	""	"1"	"M11072702"	"Extraction"	""	""	"Assay for M11072702"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"160"	""	"Data transformation"	""	"FILES/m11072702.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"161"	"161"	"161"	""	"1"	"M11082019"	"Extraction"	""	""	"Assay for M11082019"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"161"	""	"Data transformation"	""	"FILES/m11082019.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"162"	"162"	"162"	""	"1"	"M11072322"	"Extraction"	""	""	"Assay for M11072322"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"162"	""	"Data transformation"	""	"FILES/m11072322.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"163"	"163"	"163"	""	"1"	"M11051807"	"Extraction"	""	""	"Assay for M11051807"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"163"	""	"Data transformation"	""	"FILES/m11051807.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"164"	"164"	"164"	""	"1"	"M11062517"	"Extraction"	""	""	"Assay for M11062517"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"164"	""	"Data transformation"	""	"FILES/m11062517.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"165"	"165"	"165"	""	"1"	"M11051114"	"Extraction"	""	""	"Assay for M11051114"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"165"	""	"Data transformation"	""	"FILES/m11051114.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"166"	"166"	"166"	""	"1"	"M11072317"	"Extraction"	""	""	"Assay for M11072317"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"166"	""	"Data transformation"	""	"FILES/m11072317.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"167"	"167"	"167"	""	"1"	"M11051909"	"Extraction"	""	""	"Assay for M11051909"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"167"	""	"Data transformation"	""	"FILES/m11051909.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"168"	"168"	"168"	""	"1"	"M11060201"	"Extraction"	""	""	"Assay for M11060201"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"168"	""	"Data transformation"	""	"FILES/m11060201.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"169"	"169"	"169"	""	"1"	"M11050506"	"Extraction"	""	""	"Assay for M11050506"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"169"	""	"Data transformation"	""	"FILES/m11050506.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"170"	"170"	"170"	""	"1"	"M11073004"	"Extraction"	""	""	"Assay for M11073004"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"170"	""	"Data transformation"	""	"FILES/m11073004.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"171"	"171"	"171"	""	"1"	"M11072311"	"Extraction"	""	""	"Assay for M11072311"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"171"	""	"Data transformation"	""	"FILES/m11072311.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"172"	"172"	"172"	""	"1"	"M11061505"	"Extraction"	""	""	"Assay for M11061505"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"172"	""	"Data transformation"	""	"FILES/m11061505.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"173"	"173"	"173"	""	"1"	"M11071302"	"Extraction"	""	""	"Assay for M11071302"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"173"	""	"Data transformation"	""	"FILES/m11071302.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"174"	"174"	"174"	""	"1"	"M11050503"	"Extraction"	""	""	"Assay for M11050503"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"174"	""	"Data transformation"	""	"FILES/m11050503.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"175"	"175"	"175"	""	"1"	"M11061509"	"Extraction"	""	""	"Assay for M11061509"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"175"	""	"Data transformation"	""	"FILES/m11061509.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"176"	"176"	"176"	""	"1"	"M11072706"	"Extraction"	""	""	"Assay for M11072706"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"176"	""	"Data transformation"	""	"FILES/m11072706.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"177"	"177"	"177"	""	"1"	"M11052504"	"Extraction"	""	""	"Assay for M11052504"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"177"	""	"Data transformation"	""	"FILES/m11052504.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"178"	"178"	"178"	""	"1"	"M11062212"	"Extraction"	""	""	"Assay for M11062212"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"178"	""	"Data transformation"	""	"FILES/m11062212.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"179"	"179"	"179"	""	"1"	"M11060912"	"Extraction"	""	""	"Assay for M11060912"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"179"	""	"Data transformation"	""	"FILES/m11060912.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"180"	"180"	"180"	""	"1"	"M11072707"	"Extraction"	""	""	"Assay for M11072707"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"180"	""	"Data transformation"	""	"FILES/m11072707.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"181"	"181"	"181"	""	"1"	"M11081705"	"Extraction"	""	""	"Assay for M11081705"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"181"	""	"Data transformation"	""	"FILES/m11081705.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"182"	"182"	"182"	""	"1"	"M11081713"	"Extraction"	""	""	"Assay for M11081713"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"182"	""	"Data transformation"	""	"FILES/m11081713.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"183"	"183"	"183"	""	"1"	"M11072310"	"Extraction"	""	""	"Assay for M11072310"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"183"	""	"Data transformation"	""	"FILES/m11072310.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"184"	"184"	"184"	""	"1"	"M11052507"	"Extraction"	""	""	"Assay for M11052507"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"184"	""	"Data transformation"	""	"FILES/m11052507.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"185"	"185"	"185"	""	"1"	"M11050404"	"Extraction"	""	""	"Assay for M11050404"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"185"	""	"Data transformation"	""	"FILES/m11050404.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"186"	"186"	"186"	""	"1"	"M11060902"	"Extraction"	""	""	"Assay for M11060902"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"186"	""	"Data transformation"	""	"FILES/m11060902.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"187"	"187"	"187"	""	"1"	"M11081316"	"Extraction"	""	""	"Assay for M11081316"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"187"	""	"Data transformation"	""	"FILES/m11081316.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"188"	"188"	"188"	""	"1"	"M11080302"	"Extraction"	""	""	"Assay for M11080302"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"188"	""	"Data transformation"	""	"FILES/m11080302.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"189"	"189"	"189"	""	"1"	"M11072303"	"Extraction"	""	""	"Assay for M11072303"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"189"	""	"Data transformation"	""	"FILES/m11072303.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"190"	"190"	"190"	""	"1"	"M11051901"	"Extraction"	""	""	"Assay for M11051901"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"190"	""	"Data transformation"	""	"FILES/m11051901.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"191"	"191"	"191"	""	"1"	"M11082409"	"Extraction"	""	""	"Assay for M11082409"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"191"	""	"Data transformation"	""	"FILES/m11082409.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"192"	"192"	"192"	""	"1"	"M11060102"	"Extraction"	""	""	"Assay for M11060102"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"192"	""	"Data transformation"	""	"FILES/m11060102.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"193"	"193"	"193"	""	"1"	"M11061604"	"Extraction"	""	""	"Assay for M11061604"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"193"	""	"Data transformation"	""	"FILES/m11061604.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"194"	"194"	"194"	""	"1"	"M11082003"	"Extraction"	""	""	"Assay for M11082003"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"194"	""	"Data transformation"	""	"FILES/m11082003.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"195"	"195"	"195"	""	"1"	"M11062524"	"Extraction"	""	""	"Assay for M11062524"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"195"	""	"Data transformation"	""	"FILES/m11062524.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
